title,main link,supplemental link
invertible-denoising-network-a-light-solution-for-real-noise-removal,https://openaccess.thecvf.com/content/CVPR2021/papers/Liu_Invertible_Denoising_Network_A_Light_Solution_for_Real_Noise_Removal_CVPR_2021_paper.pdf,
greedy-hierarchical-variational-autoencoders-for-large-scale-video-prediction,https://openaccess.thecvf.com/content/CVPR2021/papers/Wu_Greedy_Hierarchical_Variational_Autoencoders_for_Large-Scale_Video_Prediction_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Wu_Greedy_Hierarchical_Variational_CVPR_2021_supplemental.pdf
over-the-air-adversarial-flickering-attacks-against-video-recognition-networks,https://openaccess.thecvf.com/content/CVPR2021/papers/Pony_Over-the-Air_Adversarial_Flickering_Attacks_Against_Video_Recognition_Networks_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Pony_Over-the-Air_Adversarial_Flickering_CVPR_2021_supplemental.pdf
encoder-fusion-network-with-co-attention-embedding-for-referring-image-segmentation,https://openaccess.thecvf.com/content/CVPR2021/papers/Feng_Encoder_Fusion_Network_With_Co-Attention_Embedding_for_Referring_Image_Segmentation_CVPR_2021_paper.pdf,
polka-lines-learning-structured-illumination-and-reconstruction-for-active-stereo,https://openaccess.thecvf.com/content/CVPR2021/papers/Baek_Polka_Lines_Learning_Structured_Illumination_and_Reconstruction_for_Active_Stereo_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Baek_Polka_Lines_Learning_CVPR_2021_supplemental.zip
image-inpainting-with-external-internal-learning-and-monochromic-bottleneck,https://openaccess.thecvf.com/content/CVPR2021/papers/Wang_Image_Inpainting_With_External-Internal_Learning_and_Monochromic_Bottleneck_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Wang_Image_Inpainting_With_CVPR_2021_supplemental.zip
patch2pix-epipolar-guided-pixel-level-correspondences,https://openaccess.thecvf.com/content/CVPR2021/papers/Zhou_Patch2Pix_Epipolar-Guided_Pixel-Level_Correspondences_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Zhou_Patch2Pix_Epipolar-Guided_Pixel-Level_CVPR_2021_supplemental.pdf
diverse-part-discovery-occluded-person-re-identification-with-part-aware-transformer,https://openaccess.thecvf.com/content/CVPR2021/papers/Li_Diverse_Part_Discovery_Occluded_Person_Re-Identification_With_Part-Aware_Transformer_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Li_Diverse_Part_Discovery_CVPR_2021_supplemental.pdf
counterfactual-zero-shot-and-open-set-visual-recognition,https://openaccess.thecvf.com/content/CVPR2021/papers/Yue_Counterfactual_Zero-Shot_and_Open-Set_Visual_Recognition_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Yue_Counterfactual_Zero-Shot_and_CVPR_2021_supplemental.pdf
person30k-a-dual-meta-generalization-network-for-person-re-identification,https://openaccess.thecvf.com/content/CVPR2021/papers/Bai_Person30K_A_Dual-Meta_Generalization_Network_for_Person_Re-Identification_CVPR_2021_paper.pdf,
patch-netvlad-multi-scale-fusion-of-locally-global-descriptors-for-place-recognition,https://openaccess.thecvf.com/content/CVPR2021/papers/Hausler_Patch-NetVLAD_Multi-Scale_Fusion_of_Locally-Global_Descriptors_for_Place_Recognition_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Hausler_Patch-NetVLAD_Multi-Scale_Fusion_CVPR_2021_supplemental.pdf
visually-informed-binaural-audio-generation-without-binaural-audios,https://openaccess.thecvf.com/content/CVPR2021/papers/Xu_Visually_Informed_Binaural_Audio_Generation_without_Binaural_Audios_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Xu_Visually_Informed_Binaural_CVPR_2021_supplemental.pdf
dual-attention-guided-gaze-target-detection-in-the-wild,https://openaccess.thecvf.com/content/CVPR2021/papers/Fang_Dual_Attention_Guided_Gaze_Target_Detection_in_the_Wild_CVPR_2021_paper.pdf,
privacy-preserving-localization-and-mapping-from-uncalibrated-cameras,https://openaccess.thecvf.com/content/CVPR2021/papers/Geppert_Privacy_Preserving_Localization_and_Mapping_From_Uncalibrated_Cameras_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Geppert_Privacy_Preserving_Localization_CVPR_2021_supplemental.pdf
learning-calibrated-medical-image-segmentation-via-multi-rater-agreement-modeling,https://openaccess.thecvf.com/content/CVPR2021/papers/Ji_Learning_Calibrated_Medical_Image_Segmentation_via_Multi-Rater_Agreement_Modeling_CVPR_2021_paper.pdf,
points-as-queries-weakly-semi-supervised-object-detection-by-points,https://openaccess.thecvf.com/content/CVPR2021/papers/Chen_Points_As_Queries_Weakly_Semi-Supervised_Object_Detection_by_Points_CVPR_2021_paper.pdf,
removing-diffraction-image-artifacts-in-under-display-camera-via-dynamic-skip-connection-network,https://openaccess.thecvf.com/content/CVPR2021/papers/Feng_Removing_Diffraction_Image_Artifacts_in_Under-Display_Camera_via_Dynamic_Skip_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Feng_Removing_Diffraction_Image_CVPR_2021_supplemental.pdf
ivpf-numerical-invertible-volume-preserving-flow-for-efficient-lossless-compression,https://openaccess.thecvf.com/content/CVPR2021/papers/Zhang_iVPF_Numerical_Invertible_Volume_Preserving_Flow_for_Efficient_Lossless_Compression_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Zhang_iVPF_Numerical_Invertible_CVPR_2021_supplemental.pdf
pose-recognition-with-cascade-transformers,https://openaccess.thecvf.com/content/CVPR2021/papers/Li_Pose_Recognition_With_Cascade_Transformers_CVPR_2021_paper.pdf,
data-uncertainty-guided-multi-phase-learning-for-semi-supervised-object-detection,https://openaccess.thecvf.com/content/CVPR2021/papers/Wang_Data-Uncertainty_Guided_Multi-Phase_Learning_for_Semi-Supervised_Object_Detection_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Wang_Data-Uncertainty_Guided_Multi-Phase_CVPR_2021_supplemental.pdf
prototype-guided-saliency-feature-learning-for-person-search,https://openaccess.thecvf.com/content/CVPR2021/papers/Kim_Prototype-Guided_Saliency_Feature_Learning_for_Person_Search_CVPR_2021_paper.pdf,
contrastive-learning-for-compact-single-image-dehazing,https://openaccess.thecvf.com/content/CVPR2021/papers/Wu_Contrastive_Learning_for_Compact_Single_Image_Dehazing_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Wu_Contrastive_Learning_for_CVPR_2021_supplemental.pdf
i3net-implicit-instance-invariant-network-for-adapting-one-stage-object-detectors,https://openaccess.thecvf.com/content/CVPR2021/papers/Chen_I3Net_Implicit_Instance-Invariant_Network_for_Adapting_One-Stage_Object_Detectors_CVPR_2021_paper.pdf,
body-meshes-as-points,https://openaccess.thecvf.com/content/CVPR2021/papers/Zhang_Body_Meshes_as_Points_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Zhang_Body_Meshes_as_CVPR_2021_supplemental.pdf
pixel-aligned-volumetric-avatars,https://openaccess.thecvf.com/content/CVPR2021/papers/Raj_Pixel-Aligned_Volumetric_Avatars_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Raj_Pixel-Aligned_Volumetric_Avatars_CVPR_2021_supplemental.zip
uc2-universal-cross-lingual-cross-modal-vision-and-language-pre-training,https://openaccess.thecvf.com/content/CVPR2021/papers/Zhou_UC2_Universal_Cross-Lingual_Cross-Modal_Vision-and-Language_Pre-Training_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Zhou_UC2_Universal_Cross-Lingual_CVPR_2021_supplemental.pdf
generative-pointnet-deep-energy-based-learning-on-unordered-point-sets-for-3d-generation-reconstruction-and-classification,https://openaccess.thecvf.com/content/CVPR2021/papers/Xie_Generative_PointNet_Deep_Energy-Based_Learning_on_Unordered_Point_Sets_for_CVPR_2021_paper.pdf,
blur-noise-and-compression-robust-generative-adversarial-networks,https://openaccess.thecvf.com/content/CVPR2021/papers/Kaneko_Blur_Noise_and_Compression_Robust_Generative_Adversarial_Networks_CVPR_2021_paper.pdf,
invisible-perturbations-physical-adversarial-examples-exploiting-the-rolling-shutter-effect,https://openaccess.thecvf.com/content/CVPR2021/papers/Sayles_Invisible_Perturbations_Physical_Adversarial_Examples_Exploiting_the_Rolling_Shutter_Effect_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Sayles_Invisible_Perturbations_Physical_CVPR_2021_supplemental.pdf
introvert-human-trajectory-prediction-via-conditional-3d-attention,https://openaccess.thecvf.com/content/CVPR2021/papers/Shafiee_Introvert_Human_Trajectory_Prediction_via_Conditional_3D_Attention_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Shafiee_Introvert_Human_Trajectory_CVPR_2021_supplemental.pdf
camouflaged-object-segmentation-with-distraction-mining,https://openaccess.thecvf.com/content/CVPR2021/papers/Mei_Camouflaged_Object_Segmentation_With_Distraction_Mining_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Mei_Camouflaged_Object_Segmentation_CVPR_2021_supplemental.pdf
rfd-net-point-scene-understanding-by-semantic-instance-reconstruction,https://openaccess.thecvf.com/content/CVPR2021/papers/Nie_RfD-Net_Point_Scene_Understanding_by_Semantic_Instance_Reconstruction_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Nie_RfD-Net_Point_Scene_CVPR_2021_supplemental.pdf
in-the-light-of-feature-distributions-moment-matching-for-neural-style-transfer,https://openaccess.thecvf.com/content/CVPR2021/papers/Kalischek_In_the_Light_of_Feature_Distributions_Moment_Matching_for_Neural_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Kalischek_In_the_Light_CVPR_2021_supplemental.pdf
dots-decoupling-operation-and-topology-in-differentiable-architecture-search,https://openaccess.thecvf.com/content/CVPR2021/papers/Gu_DOTS_Decoupling_Operation_and_Topology_in_Differentiable_Architecture_Search_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Gu_DOTS_Decoupling_Operation_CVPR_2021_supplemental.pdf
drivegan-towards-a-controllable-high-quality-neural-simulation,https://openaccess.thecvf.com/content/CVPR2021/papers/Kim_DriveGAN_Towards_a_Controllable_High-Quality_Neural_Simulation_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Kim_DriveGAN_Towards_a_CVPR_2021_supplemental.zip
style-aware-normalized-loss-for-improving-arbitrary-style-transfer,https://openaccess.thecvf.com/content/CVPR2021/papers/Cheng_Style-Aware_Normalized_Loss_for_Improving_Arbitrary_Style_Transfer_CVPR_2021_paper.pdf,https://openaccess.thecvf.com/content/CVPR2021/supplemental/Cheng_Style-Aware_Normalized_Loss_CVPR_2021_supplemental.pdf
