group,title,main link,supplemental link
safe-artificial-intelligence-for-automated-driving,simulation-driven-design-and-test-for-safety-of-ai-based-autonomous-vehicles,http://openaccess.thecvf.com/content/CVPR2021W/SAIAD/papers/Singh_Simulation_Driven_Design_and_Test_for_Safety_of_AI_Based_CVPRW_2021_paper.pdf,
safe-artificial-intelligence-for-automated-driving,reevaluating-the-safety-impact-of-inherent-interpretability-on-deep-neural-networks-for-pedestrian-detection,http://openaccess.thecvf.com/content/CVPR2021W/SAIAD/papers/Feifel_Reevaluating_the_Safety_Impact_of_Inherent_Interpretability_on_Deep_Neural_CVPRW_2021_paper.pdf,
safe-artificial-intelligence-for-automated-driving,out-of-distribution-detection-and-generation-using-soft-brownian-offset-sampling-and-autoencoders,http://openaccess.thecvf.com/content/CVPR2021W/SAIAD/papers/Moller_Out-of-Distribution_Detection_and_Generation_Using_Soft_Brownian_Offset_Sampling_and_CVPRW_2021_paper.pdf,
safe-artificial-intelligence-for-automated-driving,an-unsupervised-temporal-consistency-tc-loss-to-improve-the-performance-of-semantic-segmentation-networks,http://openaccess.thecvf.com/content/CVPR2021W/SAIAD/papers/Varghese_An_Unsupervised_Temporal_Consistency_TC_Loss_To_Improve_the_Performance_CVPRW_2021_paper.pdf,
safe-artificial-intelligence-for-automated-driving,improving-online-performance-prediction-for-semantic-segmentation,http://openaccess.thecvf.com/content/CVPR2021W/SAIAD/papers/Klingner_Improving_Online_Performance_Prediction_for_Semantic_Segmentation_CVPRW_2021_paper.pdf,
safe-artificial-intelligence-for-automated-driving,plants-don-t-walk-on-the-street-common-sense-reasoning-for-reliable-semantic-segmentation,http://openaccess.thecvf.com/content/CVPR2021W/SAIAD/papers/Adilova_Plants_Dont_Walk_on_the_Street_Common-Sense_Reasoning_for_Reliable_CVPRW_2021_paper.pdf,http://openaccess.thecvf.com/content/CVPR2021W/SAIAD/supplemental/Adilova_Plants_Dont_Walk_CVPRW_2021_supplemental.pdf
safe-artificial-intelligence-for-automated-driving,boosting-adversarial-robustness-using-feature-level-stochastic-smoothing,http://openaccess.thecvf.com/content/CVPR2021W/SAIAD/papers/Addepalli_Boosting_Adversarial_Robustness_Using_Feature_Level_Stochastic_Smoothing_CVPRW_2021_paper.pdf,http://openaccess.thecvf.com/content/CVPR2021W/SAIAD/supplemental/Addepalli_Boosting_Adversarial_Robustness_CVPRW_2021_supplemental.pdf
safe-artificial-intelligence-for-automated-driving,detecting-anomalies-in-semantic-segmentation-with-prototypes,http://openaccess.thecvf.com/content/CVPR2021W/SAIAD/papers/Fontanel_Detecting_Anomalies_in_Semantic_Segmentation_With_Prototypes_CVPRW_2021_paper.pdf,
safe-artificial-intelligence-for-automated-driving,development-methodologies-for-safety-critical-machine-learning-applications-in-the-automotive-domain-a-survey,http://openaccess.thecvf.com/content/CVPR2021W/SAIAD/papers/Rabe_Development_Methodologies_for_Safety_Critical_Machine_Learning_Applications_in_the_CVPRW_2021_paper.pdf,
safe-artificial-intelligence-for-automated-driving,towards-black-box-explainability-with-gaussian-discriminant-knowledge-distillation,http://openaccess.thecvf.com/content/CVPR2021W/SAIAD/papers/Haselhoff_Towards_Black-Box_Explainability_With_Gaussian_Discriminant_Knowledge_Distillation_CVPRW_2021_paper.pdf,
