title,link,group
checking-proofs-in-the-mathematics-of-first-order-logic,https://www.ijcai.org/Proceedings/75/Papers/001.pdf,
on-the-role-of-mathematical-language-concept-in-the-theory-of-intelligent-systems,https://www.ijcai.org/Proceedings/75/Papers/002.pdf,
a-now-method-for-proving-certain-presburger-formulas,https://www.ijcai.org/Proceedings/75/Papers/003.pdf,
analyzing-mathematical-proofs-or-reading-between-the-lines,https://www.ijcai.org/Proceedings/75/Papers/004.pdf,
on-methods-to-decide-solvability-of-transformation-problems,https://www.ijcai.org/Proceedings/75/Papers/005.pdf,
commenting-proofs,https://www.ijcai.org/Proceedings/75/Papers/006.pdf,
definition-theory-as-basis-for-a-creative-problem-solver,https://www.ijcai.org/Proceedings/75/Papers/006a.pdf,
semantic-resolution-for-horn-sets,https://www.ijcai.org/Proceedings/75/Papers/007.pdf,
a-note-on-deduction-rules-with-negative-premises,https://www.ijcai.org/Proceedings/75/Papers/008.pdf,
gentzen-type-formal-system-representing-properties-of-function-and-its-implementation,https://www.ijcai.org/Proceedings/75/Papers/009.pdf,
semiotic-models-in-artificial-intelligence-problems,https://www.ijcai.org/Proceedings/75/Papers/010.pdf,
a-complete-unification-algorithm-for-associative-commutative-functions,https://www.ijcai.org/Proceedings/75/Papers/011.pdf,
an-extension-of-unification-to-substitutions-with-an-application-to-automatic-theorem-proving-to-automatic-therom-proving,https://www.ijcai.org/Proceedings/75/Papers/012.pdf,
toward-a-state-based-conceptual-representation,https://www.ijcai.org/Proceedings/75/Papers/012a.pdf,
a-partial-taxonomy-of-knowledge-about-actions,https://www.ijcai.org/Proceedings/75/Papers/013.pdf,
deductive-retrieval-mechanisms-for-state-description-models,https://www.ijcai.org/Proceedings/75/Papers/014.pdf,
the-representation-of-concepts-in-owl,https://www.ijcai.org/Proceedings/75/Papers/015.pdf,
expanding-the-utility-of-semantic-networks-through-partitioning,https://www.ijcai.org/Proceedings/75/Papers/016.pdf,
some-thought-about-representing-knowledge-in-instructional-systems,https://www.ijcai.org/Proceedings/75/Papers/017.pdf,
beings-knowledge-as-interacting-experts,https://www.ijcai.org/Proceedings/75/Papers/018.pdf,
semantic-networks-and-the-generation-of-context,https://www.ijcai.org/Proceedings/75/Papers/019.pdf,
conceptual-overlays-a-mechanism-for-the-interpretation-of-sentence-meaning-in-context,https://www.ijcai.org/Proceedings/75/Papers/020.pdf,
scripts-plans-and-knowledge,https://www.ijcai.org/Proceedings/75/Papers/021.pdf,
extending-the-explorative-power-of-semantic-network,https://www.ijcai.org/Proceedings/75/Papers/021a.pdf,
association-memory-model-using-the-notion-of-importance,https://www.ijcai.org/Proceedings/75/Papers/022.pdf,
planning-and-execution-in-incompletely-specified-environments,https://www.ijcai.org/Proceedings/75/Papers/023.pdf,
bargaining-between-goals,https://www.ijcai.org/Proceedings/75/Papers/024.pdf,
a-representation-for-robot-plans,https://www.ijcai.org/Proceedings/75/Papers/025.pdf,
how-to-use-what-you-know,https://www.ijcai.org/Proceedings/75/Papers/026.pdf,
planning-the-activity-of-robot-with-artificial-intelligence,https://www.ijcai.org/Proceedings/75/Papers/027.pdf,
the-nonlinear-nature-of-plans,https://www.ijcai.org/Proceedings/75/Papers/028.pdf,
interacting-goals-and-their-use,https://www.ijcai.org/Proceedings/75/Papers/029.pdf,
empirical-prediction-algorithm,https://www.ijcai.org/Proceedings/75/Papers/030.pdf,
application-of-methods-of-adaptive-learning-to-the-problem-of-automatic-decision-making-under-conditions-of-a-priori-uncertainty,https://www.ijcai.org/Proceedings/75/Papers/031.pdf,
a-basis-for-the-acquisition-of-procedures-from-protocols,https://www.ijcai.org/Proceedings/75/Papers/032.pdf,
some-rules-for-the-automatic-synthesis-of-programs,https://www.ijcai.org/Proceedings/75/Papers/033.pdf,
synthesis-of-lisp-functions-from-examples,https://www.ijcai.org/Proceedings/75/Papers/034.pdf,
an-automatically-compilable-recognition-network-for-structured-patterns,https://www.ijcai.org/Proceedings/75/Papers/035.pdf,
some-principles-of-artificial-learning-that-have-emerged-from-examples,https://www.ijcai.org/Proceedings/75/Papers/036.pdf,
inferring-lisp-programs-from-examples,https://www.ijcai.org/Proceedings/75/Papers/037.pdf,
automatic-program-synthesis-from-example-problems,https://www.ijcai.org/Proceedings/75/Papers/038.pdf,
inductive-inference-theory-a-unified-approach-to-problems-in-pattern-recognition-and-artificial-intelligence,https://www.ijcai.org/Proceedings/75/Papers/039.pdf,
induction-of-concepts-in-the-predicate-calculus,https://www.ijcai.org/Proceedings/75/Papers/040.pdf,
knowledge-and-reasoning-in-program-synthesis,https://www.ijcai.org/Proceedings/75/Papers/041.pdf,
adaptive-production-systems,https://www.ijcai.org/Proceedings/75/Papers/042.pdf,
on-the-structure-of-an-important-class-of-exhaustive-problems-and-on-ways-of-search-reduction-for-them,https://www.ijcai.org/Proceedings/75/Papers/043.pdf,
an-improved-bi-directional-heuristic-search-algorithm,https://www.ijcai.org/Proceedings/75/Papers/044.pdf,
knowledge-and-its-use-in-a-program-for-going-from-one-place-to-another,https://www.ijcai.org/Proceedings/75/Papers/045.pdf,
the-influence-of-nonuniformity-in-the-models-of-automata-collective-behavior,https://www.ijcai.org/Proceedings/75/Papers/046.pdf,
about-the-solution-of-combinatorical-problems-with-problem-solving-methods,https://www.ijcai.org/Proceedings/75/Papers/047.pdf,
the-heuristic-search-and-the-game-of-chess-a-study-of-quiescence-sacrifices-and-plan-oriented-play,https://www.ijcai.org/Proceedings/75/Papers/048.pdf,
a-problem-reduction-model-for-non-independent-sub-problems,https://www.ijcai.org/Proceedings/75/Papers/049.pdf,
from-dynamic-programming-to-search-algorithms-with-functional-costs,https://www.ijcai.org/Proceedings/75/Papers/050.pdf,
automated-hypothesis-generation-using-extended-inductive-resolution,https://www.ijcai.org/Proceedings/75/Papers/051.pdf,
method-for-the-best-solutions-search-in-multi-objective-decision-problems,https://www.ijcai.org/Proceedings/75/Papers/052.pdf,
predicting-the-length-of-solutions-to-problems,https://www.ijcai.org/Proceedings/75/Papers/053.pdf,
a-collective-of-algorithms,https://www.ijcai.org/Proceedings/75/Papers/054.pdf,
bribip-a-bridge-bidding-program,https://www.ijcai.org/Proceedings/75/Papers/054A.pdf,
toward-a-multiple-environments-model-of-natural-language,https://www.ijcai.org/Proceedings/75/Papers/055.pdf,
picnics-kittens-and-wigs-using-scenarios-for-the-sentence-completion-task,https://www.ijcai.org/Proceedings/75/Papers/056.pdf,
rita-an-experimental-man-computer-system-on-a-natural-language-basis,https://www.ijcai.org/Proceedings/75/Papers/057.pdf,
a-student-oriented-natural-language-environment-for-learning-lisp,https://www.ijcai.org/Proceedings/75/Papers/058.pdf,
tulips-teachable-understanding-natural-language-input-problem-solver,https://www.ijcai.org/Proceedings/75/Papers/059.pdf,
preliminary-report-on-a-program-for-generating-natural-language,https://www.ijcai.org/Proceedings/75/Papers/060.pdf,
an-adaptive-natural-language-system-that-listens-asks-and-learns,https://www.ijcai.org/Proceedings/75/Papers/061.pdf,
torus-a-natural-language-understanding-system-for-data-management,https://www.ijcai.org/Proceedings/75/Papers/062.pdf,
lingol-a-progress-report,https://www.ijcai.org/Proceedings/75/Papers/063.pdf,
generating-hierarchical-semantic-networks-from-natural-language-discourse,https://www.ijcai.org/Proceedings/75/Papers/064.pdf,
