title,link,group
automatic-programming-using-abstract-data-types,https://www.ijcai.org/Proceedings/83-1/Papers/001.pdf,automatic-programming-1-keynote-address
theory-of-linear-equations-applied-to-program-transformation,https://www.ijcai.org/Proceedings/83-1/Papers/002.pdf,theorem-proving-automatic-programming
symbolic-execution-of-the-gist-specification-language,https://www.ijcai.org/Proceedings/83-1/Papers/003.pdf,automatic-programming-1
manipulating-descriptions-of-programs-for-database-access,https://www.ijcai.org/Proceedings/83-1/Papers/003A.pdf,automatic-programming-1
synthesizing-least-fixed-point-queries-into-non-recursive-iterative-programs,https://www.ijcai.org/Proceedings/83-1/Papers/004.pdf,automatic-programming-1
diagnostic-reasoning-in-software-fault-localization,https://www.ijcai.org/Proceedings/83-1/Papers/004A.pdf,automatic-programming-2
a-problem-reduction-approach-to-program-synthesis,https://www.ijcai.org/Proceedings/83-1/Papers/005.pdf,automatic-programming-2
automatic-programming-from-data-types-decomposition-patterns,https://www.ijcai.org/Proceedings/83-1/Papers/006.pdf,automatic-programming-2
under-what-conditions-can-a-machine-attribute-meanings-to-symbols,https://www.ijcai.org/Proceedings/83-1/Papers/007.pdf,panel
under-what-conditions-can-a-machine-attribute-meanings-to-symbols,https://www.ijcai.org/Proceedings/83-1/Papers/008.pdf,panel
under-what-conditions-can-a-machine-attribute-meanings-to-symbols,https://www.ijcai.org/Proceedings/83-1/Papers/009.pdf,panel
how-to-discover-a-knowledge-representation-for-causal-reasoning-by-studying-an-expert-physician,https://www.ijcai.org/Proceedings/83-1/Papers/010.pdf,cognitive-modelling-2
learning-to-program,https://www.ijcai.org/Proceedings/83-1/Papers/011.pdf,cognitive-modelling-2
creating-a-story-telling-universe,https://www.ijcai.org/Proceedings/83-1/Papers/012.pdf,cognitive-modelling-1
shifting-the-focus-of-attention-the-way-agatha-christie-leads-you-on,https://www.ijcai.org/Proceedings/83-1/Papers/013.pdf,cognitive-modelling-1
dynamic-world-simulation-for-planning-with-multiple-agents,https://www.ijcai.org/Proceedings/83-1/Papers/014.pdf,cognitive-modelling-1
some-basic-mechanisms-for-common-sense-reasoning-about-stories-environments,https://www.ijcai.org/Proceedings/83-1/Papers/015.pdf,cognitive-modelling-1
understanding-stories-through-morals-and-reminding,https://www.ijcai.org/Proceedings/83-1/Papers/016.pdf,cognitive-modelling-1
planning-perlocutionary-acts,https://www.ijcai.org/Proceedings/83-1/Papers/017.pdf,cognitive-modelling-1
logic-modelling-of-cognitive-reasoning,https://www.ijcai.org/Proceedings/83-1/Papers/018.pdf,cognitive-modelling-3
motives-and-emotions-in-a-general-learning-system,https://www.ijcai.org/Proceedings/83-1/Papers/019.pdf,cognitive-modelling-3
artificial-intelligence-in-the-classroom,https://www.ijcai.org/Proceedings/83-1/Papers/019a.pdf,cognitive-modelling-3
examples-in-legal-reasoning-legal-hypotheticals,https://www.ijcai.org/Proceedings/83-1/Papers/020.pdf,cognitive-modelling-3
modeling-cognitive-development-on-the-balance-scale-task,https://www.ijcai.org/Proceedings/83-1/Papers/021.pdf,cognitive-modelling-3
semi-automated-analysis-of-protocols-from-novices-and-experts-solving-physics-problems,https://www.ijcai.org/Proceedings/83-1/Papers/022.pdf,cognitive-modelling-3
extracting-knowledge-from-expert-systems,https://www.ijcai.org/Proceedings/83-1/Papers/023.pdf,expert-systems-3-keynote-address
industrial-strength-knowledge-bases-issues-and-experiences-knowledge-base-stability-memory-uniform-or-structured,https://www.ijcai.org/Proceedings/83-1/Papers/024.pdf,panel
integrity-knowledge-acquisition-and-the-user-interface-joint-knowledge-base-development-interfaces-to-databases,https://www.ijcai.org/Proceedings/83-1/Papers/024.pdf,panel
on-the-requirements-of-future-expert-systems,https://www.ijcai.org/Proceedings/83-1/Papers/025.pdf,expert-systems-1-commercial-applications
ace-an-expert-system-for-telephone-cable-maintenance,https://www.ijcai.org/Proceedings/83-1/Papers/026.pdf,expert-systems-1-commercial-applications
the-dipmeter-advisor-system,https://www.ijcai.org/Proceedings/83-1/Papers/027.pdf,expert-systems-1-commercial-applications
a-synthetic-view-of-approximate-reasoning-techniques,https://www.ijcai.org/Proceedings/83-1/Papers/028.pdf,expert-systems-2-plausible-inference
consistency-and-plausible-reasoning,https://www.ijcai.org/Proceedings/83-1/Papers/029.pdf,expert-systems-2-plausible-inference
extracting-useful-advice-from-conflicting-expertise,https://www.ijcai.org/Proceedings/83-1/Papers/030.pdf,expert-systems-2-plausible-inference
procedural-expert-systems,https://www.ijcai.org/Proceedings/83-1/Papers/031.pdf,expert-systems-4-applications
techniques-for-sensor-based-diagnosis,https://www.ijcai.org/Proceedings/83-1/Papers/032.pdf,expert-systems-4-applications
ai-research-in-china-a-review,https://www.ijcai.org/Proceedings/83-1/Papers/033.pdf,expert-systems-3-general
knoesphere-building-expert-systems-with-encyclopedic-knowledge,https://www.ijcai.org/Proceedings/83-1/Papers/034.pdf,expert-systems-3-general
intelligent-assistants-for-knowledge-and-information-resources-management,https://www.ijcai.org/Proceedings/83-1/Papers/035.pdf,expert-systems-5
expert-system-as-an-intelligent-assistant-for-computer-users,https://www.ijcai.org/Proceedings/83-1/Papers/036.pdf,expert-systems-5
providing-help-and-advice-in-task-oriented-systems,https://www.ijcai.org/Proceedings/83-1/Papers/037.pdf,expert-systems-5
diagnosis-of-multiple-faults-in-a-nationwide-communications-network,https://www.ijcai.org/Proceedings/83-1/Papers/038.pdf,expert-systems-5
detecting-ambiguity-an-example-in-knowledge-evaluation,https://www.ijcai.org/Proceedings/83-1/Papers/039.pdf,expert-systems-5
oil-weil-data-interpretation-using-expert-system-and-pattern-recognition-technique,https://www.ijcai.org/Proceedings/83-1/Papers/040.pdf,expert-systems-5
a-computational-model-for-causal-and-diagnostic-reasoning-in-inference-systems,https://www.ijcai.org/Proceedings/83-1/Papers/041.pdf,expert-systems-6-plausible-reasoning
a-comparison-of-uncertainty-calculi-in-an-expert-system-for-information-retrieval,https://www.ijcai.org/Proceedings/83-1/Papers/042.pdf,expert-systems-6-plausible-reasoning
