title,main link,supplemental link
who-does-what-a-novel-algorithm-to-determine-function-localization,http://papers.nips.cc/paper/1799-who-does-what-a-novel-algorithm-to-determine-function-localization.pdf,
a-productive-systematic-framework-for-the-representation-of-visual-structure,http://papers.nips.cc/paper/1827-a-productive-systematic-framework-for-the-representation-of-visual-structure.pdf,
the-interplay-of-symbolic-and-subsymbolic-processes-in-anagram-problem-solving,http://papers.nips.cc/paper/1819-the-interplay-of-symbolic-and-subsymbolic-processes-in-anagram-problem-solving.pdf,
hippocampally-dependent-consolidation-in-a-hierarchical-model-of-neocortex,http://papers.nips.cc/paper/1842-hippocampally-dependent-consolidation-in-a-hierarchical-model-of-neocortex.pdf,
position-variance-recurrence-and-perceptual-learning,http://papers.nips.cc/paper/1883-position-variance-recurrence-and-perceptual-learning.pdf,
the-use-of-mdl-to-select-among-computational-models-of-cognition,http://papers.nips.cc/paper/1897-the-use-of-mdl-to-select-among-computational-models-of-cognition.pdf,
active-inference-in-concept-learning,http://papers.nips.cc/paper/1931-active-inference-in-concept-learning.pdf,
the-early-word-catches-the-weights,http://papers.nips.cc/paper/1796-the-early-word-catches-the-weights.pdf,
structure-learning-in-human-causal-induction,http://papers.nips.cc/paper/1845-structure-learning-in-human-causal-induction.pdf,
adaptive-object-representation-with-hierarchically-distributed-memory-sites,http://papers.nips.cc/paper/1889-adaptive-object-representation-with-hierarchically-distributed-memory-sites.pdf,
what-can-a-single-neuron-compute,http://papers.nips.cc/paper/1867-what-can-a-single-neuron-compute.pdf,
dendritic-compartmentalization-could-underlie-competition-and-attentional-biasing-of-simultaneous-visual-stimuli,http://papers.nips.cc/paper/1851-dendritic-compartmentalization-could-underlie-competition-and-attentional-biasing-of-simultaneous-visual-stimuli.pdf,
place-cells-and-spatial-navigation-based-on-2d-visual-feature-extraction-path-integration-and-reinforcement-learning,http://papers.nips.cc/paper/1801-place-cells-and-spatial-navigation-based-on-2d-visual-feature-extraction-path-integration-and-reinforcement-learning.pdf,
